GDE_BFSNR,GDE_NAME_CH,BEZIRK_NAME,GDETYP25_CODE,GDETYP25_NAME,RAUMPLANREG_CODE,RAUMPLANREG_NAME
117,Hinwil,Bezirk Hinwil,216,Periurbane Industriegemeinde hoher Dichte,108,Zürcher Oberland
118,Rüti (ZH),Bezirk Hinwil,136,Städtische Industriegemeinde einer kleinen oder ausserhalb einer Agglomeration,108,Zürcher Oberland
119,Seegräben,Bezirk Hinwil,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,108,Zürcher Oberland
120,Wald (ZH),Bezirk Hinwil,217,Periurbane Dienstleistungsgemeinde hoher Dichte,108,Zürcher Oberland
121,Wetzikon (ZH),Bezirk Hinwil,112,Städtische Arbeitsplatzgemeinde einer grossen Agglomeration,108,Zürcher Oberland
131,Adliswil,Bezirk Horgen,113,Städtische Wohngemeinde einer grossen Agglomeration,106,Zimmerberg
135,Kilchberg (ZH),Bezirk Horgen,113,Städtische Wohngemeinde einer grossen Agglomeration,106,Zimmerberg
136,Langnau am Albis,Bezirk Horgen,113,Städtische Wohngemeinde einer grossen Agglomeration,106,Zimmerberg
137,Oberrieden,Bezirk Horgen,113,Städtische Wohngemeinde einer grossen Agglomeration,106,Zimmerberg
138,Richterswil,Bezirk Horgen,113,Städtische Wohngemeinde einer grossen Agglomeration,106,Zimmerberg
139,Rüschlikon,Bezirk Horgen,112,Städtische Arbeitsplatzgemeinde einer grossen Agglomeration,106,Zimmerberg
141,Thalwil,Bezirk Horgen,113,Städtische Wohngemeinde einer grossen Agglomeration,106,Zimmerberg
151,Erlenbach (ZH),Bezirk Meilen,113,Städtische Wohngemeinde einer grossen Agglomeration,107,Pfannenstiel
152,Herrliberg,Bezirk Meilen,113,Städtische Wohngemeinde einer grossen Agglomeration,107,Pfannenstiel
153,Hombrechtikon,Bezirk Meilen,216,Periurbane Industriegemeinde hoher Dichte,107,Pfannenstiel
154,Küsnacht (ZH),Bezirk Meilen,113,Städtische Wohngemeinde einer grossen Agglomeration,107,Pfannenstiel
155,Männedorf,Bezirk Meilen,113,Städtische Wohngemeinde einer grossen Agglomeration,107,Pfannenstiel
156,Meilen,Bezirk Meilen,113,Städtische Wohngemeinde einer grossen Agglomeration,107,Pfannenstiel
157,Oetwil am See,Bezirk Meilen,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,107,Pfannenstiel
158,Stäfa,Bezirk Meilen,113,Städtische Wohngemeinde einer grossen Agglomeration,107,Pfannenstiel
159,Uetikon am See,Bezirk Meilen,113,Städtische Wohngemeinde einer grossen Agglomeration,107,Pfannenstiel
160,Zumikon,Bezirk Meilen,113,Städtische Wohngemeinde einer grossen Agglomeration,107,Pfannenstiel
161,Zollikon,Bezirk Meilen,113,Städtische Wohngemeinde einer grossen Agglomeration,107,Pfannenstiel
172,Fehraltorf,Bezirk Pfäffikon,217,Periurbane Dienstleistungsgemeinde hoher Dichte,108,Zürcher Oberland
173,Hittnau,Bezirk Pfäffikon,226,Periurbane Industriegemeinde mittlerer Dichte,108,Zürcher Oberland
176,Lindau,Bezirk Pfäffikon,226,Periurbane Industriegemeinde mittlerer Dichte,109,Winterthur und Umgebung
177,Pfäffikon,Bezirk Pfäffikon,216,Periurbane Industriegemeinde hoher Dichte,108,Zürcher Oberland
178,Russikon,Bezirk Pfäffikon,226,Periurbane Industriegemeinde mittlerer Dichte,108,Zürcher Oberland
180,Weisslingen,Bezirk Pfäffikon,227,Periurbane Dienstleistungsgemeinde mittlerer Dichte,109,Winterthur und Umgebung
